column	recOff	width	src	lea@
TP_CR_EXTRA_LEAD_PITCH_A	0x250	dword	MOVSS XMM1	142228f30
TP_CR_EXTRA_LEAD_PITCH_B	0x254	dword	MOVSS XMM1	142228f61
TP_CR_EXTRA_HEIGHT_FROM_PITCH_A	0x258	dword	MOVSS XMM1	142228f92
TP_CR_EXTRA_HEIGHT_FROM_PITCH_B	0x25c	dword	MOVSS XMM1	142228fc3
TP_CR_EXTRA_HEIGHT_PITCH_A	0x260	dword	MOVSS XMM1	142228ff4
TP_CR_EXTRA_HEIGHT_PITCH_B	0x264	dword	MOVSS XMM1	142229025
TP_CR_EXTRA_DRAW_FROM_PITCH_A	0x268	dword	MOVSS XMM1	142229056
TP_CR_EXTRA_DRAW_FROM_PITCH_B	0x26c	dword	MOVSS XMM1	142229087
TP_CR_EXTRA_DRAW_PITCH_A	0x270	dword	MOVSS XMM1	1422290b8
TP_CR_EXTRA_DRAW_PITCH_B	0x274	dword	MOVSS XMM1	1422290e9
TP_CR_CAMERA_DISTANCE	0x20c	dword	MOVSS XMM1	14222911a
TP_CR_CAMERA_INDOOR_DISTANCE	0x210	dword	MOVSS XMM1	14222914b
TP_CR_CAMERA_MOVE_DISTANCE	0x214	dword	MOVSS XMM1	14222917c
TP_CR_CAMERA_MOVING_INDOOR_DISTANCE	0x218	dword	MOVSS XMM1	1422291ad
TP_CR_CAMERA_MOVE_SPEED	0x240	dword	MOVSS XMM1	1422291de
TP_CR_CAMERA_RETURN_SPEED	0x244	dword	MOVSS XMM1	14222920f
TP_PR_CAMERA_LOOK_OFFSET_X	0x288	dword	MOVSS XMM1	142229240
TP_PR_CAMERA_LOOK_OFFSET_Y	0x28c	dword	MOVSS XMM1	142229271
TP_PR_CAMERA_LOOK_OFFSET_Z	0x290	dword	MOVSS XMM1	1422292a2
TP_PR_CAMERA_POSITION_OFFSET_X	0x294	dword	MOVSS XMM1	1422292d3
TP_PR_CAMERA_POSITION_OFFSET_Y	0x298	dword	MOVSS XMM1	142229304
TP_PR_CAMERA_POSITION_OFFSET_Z	0x29c	dword	MOVSS XMM1	142229335
TP_PR_CAMERA_FOV	0x2a0	dword	MOVSS XMM1	142229366
TP_PR_EXTRA_LEAD_FROM_PITCH_A	0x2ac	dword	MOVSS XMM1	142229397
TP_PR_EXTRA_LEAD_FROM_PITCH_B	0x2b0	dword	MOVSS XMM1	1422293c8
TP_PR_EXTRA_LEAD_PITCH_A	0x2b4	dword	MOVSS XMM1	1422293f9
TP_PR_EXTRA_LEAD_PITCH_B	0x2b8	dword	MOVSS XMM1	14222942a
TP_PR_EXTRA_HEIGHT_FROM_PITCH_A	0x2bc	dword	MOVSS XMM1	14222945b
TP_PR_EXTRA_HEIGHT_FROM_PITCH_B	0x2c0	dword	MOVSS XMM1	14222948c
TP_PR_EXTRA_HEIGHT_PITCH_A	0x2c4	dword	MOVSS XMM1	1422294bd
TP_PR_EXTRA_HEIGHT_PITCH_B	0x2c8	dword	MOVSS XMM1	1422294ee
TP_PR_CAMERA_DISTANCE	0x278	dword	MOVSS XMM1	14222951f
TP_PR_CAMERA_INDOOR_DISTANCE	0x27c	dword	MOVSS XMM1	142229550
TP_PR_CAMERA_MOVE_DISTANCE	0x280	dword	MOVSS XMM1	142229581
TP_PR_CAMERA_MOVING_INDOOR_DISTANCE	0x284	dword	MOVSS XMM1	1422295b2
TP_PR_CAMERA_MOVE_SPEED	0x2a4	dword	MOVSS XMM1	1422295e3
TP_PR_CAMERA_RETURN_SPEED	0x2a8	dword	MOVSS XMM1	142229614
TP_ALLOW_MOVE_HEIGHTS	0x2cc	byte	MOV 0x0	142229645
FP_FORCE_CAMERA_OVERRIDES	0x2cd	byte	MOV 0x0	14222967c
FP_CAMERA_FOV	0x2d0	dword	MOVSS XMM1	1422296b3
FP_CR_CAMERA_FOV	0x2d4	dword	MOVSS XMM1	1422296e4
FP_PR_CAMERA_FOV	0x2d8	dword	MOVSS XMM1	142229715
FORCE_FP_SCOPE	0x2dc	byte	MOV 0x0	142229746
ALLOW_DEPTH_ADJUSTMENT	0x2dd	byte	MOV 0x0	14222977d
AIM_ASSIST_CONFIG	?	?	?	1422297b4
RETICLE_MAX_DISTANCE	0x2e4	dword	MOVSS XMM1	1422297dd
TP_CAMERA_INDOOR_OUTDOOR_SPEED	0x2e8	dword	MOVSS XMM1	14222980e
TP_CAMERA_INDOOR_OUTDOOR_SPEED	0x022	byte	OR 0x40	14222980e
CONE_ANGLE	?	?	?	14222a935
CONE_RANGE	?	?	?	14222a963
FALL_OFF_CONE_RANGE	?	?	?	14222a991
MAGNET_CONE_ANGLE	?	?	?	14222a9bf
MAGNET_CONE_RANGE	?	?	?	14222a9ed
TARGET_OVERRIDE_DELAY	?	?	?	14222aa1b
TARGET_OOS_DELAY	?	?	?	14222aa49
ARRIVE_TIME	?	?	?	14222aa77
TARGET_MOTION_UPDATE_TIME	?	?	?	14222aaa5
WEIGHT	?	?	?	14222aad3
MIN_INPUT_WEIGHT_DELAY_IN	?	?	?	14222ab01
MAX_INPUT_WEIGHT_DELAY_IN	?	?	?	14222ab2f
MIN_INPUT_WEIGHT_DELAY_OUT	?	?	?	14222ab5d
MAX_INPUT_WEIGHT_DELAY_OUT	?	?	?	14222ab8b
MIN_INPUT_FACTOR	?	?	?	14222abb9
MAX_INPUT_FACTOR	?	?	?	14222abe7
REQUIREMENT_ID	?	?	?	14222ac15
MAGNET_MIN_ANGLE	?	?	?	14222ac3b
MAGNET_DIST_FOR_MIN_ANGLE	?	?	?	14222ac69
MAGNET_MAX_ANGLE	?	?	?	14222ac97
MAGNET_DIST_FOR_MAX_ANGLE	?	?	?	14222acc5
MIN_INPUT_STRAFE_ARRIVE_TIME	?	?	?	14222acf3
MAX_INPUT_STRAFE_ARRIVE_TIME	?	?	?	14222ad21
